user_id,username,email,phone,location,preferred_fuel,preferred_category,loyalty_tier,total_spent,join_date,last_login
26,richard12,scottnewman@example.net,001-336-722-2490x4041,Denver,Hybrid,Truck,Bronze,4962.75,2023-08-30,2025-10-08 21:46:39.888203
27,penny90,carolwatkins@example.org,490-207-9433x7177,Los Angeles,Hybrid,Sports,Silver,979.72,2024-04-30,2025-10-16 09:15:23.172557
28,sjoseph,kwilson@example.org,+1-220-961-4538x09608,Atlanta,Hybrid,Sports,Silver,8289.36,2023-04-10,2025-10-11 22:26:29.016203
29,mullinskaitlin,vscott@example.org,613-945-6835,Los Angeles,Diesel,Truck,Bronze,8314.73,2024-12-14,2025-10-21 10:37:48.048204
30,icastaneda,ginamiller@example.com,001-685-643-3773x6487,Boston,Diesel,Sports,Silver,8200.53,2024-01-31,2025-10-24 21:28:54.457129
31,ngarcia,cbond@example.org,001-312-477-9278x813,Dallas,Hybrid,Sports,Silver,4573.73,2024-10-02,2025-10-29 00:47:24.987181
32,williamsjason,preid@example.net,203.551.6923,Seattle,Diesel,Sports,Silver,3834.66,2022-12-01,2025-10-22 22:07:32.749273
33,misty71,david07@example.com,001-860-542-6334x6607,Phoenix,Electric,SUV,Platinum,4696.15,2023-06-25,2025-10-08 08:00:27.174637
34,julie85,trangregory@example.com,001-553-333-6542x163,Atlanta,Electric,Sports,Silver,6654.99,2022-11-30,2025-10-27 01:02:33.167860
35,hwhite,cooleysamantha@example.com,001-678-801-3653,Los Angeles,Gas,Sedan,Silver,8586.12,2024-11-16,2025-10-10 02:23:10.985046
36,ericcastro,jamesmcintyre@example.com,642.531.3268x5165,Denver,Diesel,Sedan,Silver,3481.88,2025-09-16,2025-10-26 06:17:23.416953
37,ashley81,pamelabrown@example.net,001-358-849-1105x0005,Los Angeles,Gas,Sports,Bronze,5986.2,2023-03-23,2025-10-16 01:21:21.110245
38,tina91,melindahowell@example.com,424-721-9312x9174,Seattle,Electric,Truck,Bronze,7422.18,2023-08-23,2025-10-18 14:59:14.593364
39,jeffreysmith,carlsonchristopher@example.org,001-825-793-8889x725,Atlanta,Gas,Sports,Silver,1385.25,2025-10-14,2025-10-20 23:02:59.054022
40,freemanlisa,madison55@example.net,(215)981-3840,Miami,Diesel,Sedan,Silver,9056.72,2024-06-17,2025-10-31 05:14:19.359810
41,kristin87,bennettcraig@example.com,288-668-6046x01558,Dallas,Diesel,Sedan,Gold,1337.41,2025-04-09,2025-10-18 15:28:55.475379
42,tmanning,swansondanielle@example.net,4195095835,Miami,Diesel,SUV,Gold,9013.49,2023-07-14,2025-10-15 00:01:25.040231
43,stacey12,grios@example.net,774-816-0380x379,Atlanta,Gas,Sports,Bronze,1479.23,2023-06-13,2025-10-15 16:48:19.296659
44,mikegarcia,alexandercarmen@example.com,(230)209-3145,Chicago,Hybrid,Sports,Bronze,7572.86,2024-05-15,2025-10-10 08:12:18.255372
45,watsonpatricia,shelly10@example.net,417-552-6445,Atlanta,Electric,SUV,Gold,9203.7,2023-03-11,2025-10-25 19:19:43.820711
46,patriciablair,silvaamber@example.org,+1-543-608-3118x404,Dallas,Hybrid,Sedan,Silver,1952.51,2025-06-11,2025-10-03 23:37:01.159005
47,sblack,rhondagrant@example.net,001-465-444-8442x6063,Dallas,Hybrid,Sedan,Bronze,7075.08,2023-04-21,2025-10-30 03:31:59.194095
48,cheryl62,dpadilla@example.org,(738)220-9657,Los Angeles,Electric,Sedan,Platinum,6968.91,2023-05-16,2025-10-18 13:15:16.098442
49,brittany22,dianejohnston@example.net,(684)570-0073,Boston,Diesel,Sedan,Bronze,5405.54,2025-09-05,2025-10-13 06:40:40.216508
50,angela78,csimmons@example.com,001-289-687-8822x106,Los Angeles,Gas,Sedan,Platinum,1885.28,2023-12-26,2025-10-01 19:04:43.088712
51,vjackson,vallen@example.net,3719948691,Atlanta,Electric,Truck,Bronze,7630.91,2022-12-30,2025-10-23 00:43:54.067935
52,uwilliams,molinaedward@example.com,(771)459-0770,Dallas,Diesel,SUV,Bronze,6519.75,2023-09-16,2025-10-23 01:18:01.796330
53,aaron65,williamjohnson@example.net,(438)942-8035,Dallas,Gas,SUV,Gold,7919.03,2024-12-25,2025-10-13 10:22:56.175124
54,jack78,humphreyjeffrey@example.net,997-451-3933,Phoenix,Hybrid,SUV,Gold,2640.88,2023-04-19,2025-10-13 11:50:19.645060
55,cindy85,ashleycabrera@example.net,+1-292-318-6839,Seattle,Electric,Sedan,Gold,8440.47,2022-12-22,2025-10-13 05:04:13.227425
56,bsilva,wprice@example.org,+1-910-253-5420,New York,Diesel,Sports,Bronze,8710.13,2024-02-05,2025-10-07 23:40:23.978837
57,benjaminjennifer,brandonjackson@example.org,709-497-9081x60935,New York,Diesel,Sedan,Silver,6891.48,2024-08-17,2025-10-04 07:57:11.141561
58,jean71,cummingsnathan@example.org,001-381-837-0346x971,Seattle,Gas,Sedan,Silver,1228.38,2025-01-20,2025-10-23 11:18:50.845522
59,amygates,wgoodman@example.net,900.858.6942,Dallas,Hybrid,SUV,Gold,3476.22,2025-09-04,2025-10-02 14:26:52.906886
60,gailclayton,urush@example.org,387.601.4980,New York,Electric,Truck,Gold,7757.99,2024-06-03,2025-10-05 21:03:46.010889
61,jmartin,natalie63@example.org,650.859.4412x52342,Denver,Hybrid,Sports,Bronze,6276.03,2025-07-11,2025-10-10 01:09:42.155260
62,patricia15,carlalowery@example.org,433-993-8482x29226,Chicago,Gas,SUV,Platinum,8889.65,2023-03-02,2025-10-10 22:02:08.360474
63,jennifer97,joseph61@example.org,(933)449-7650,Denver,Electric,Sports,Platinum,3234.05,2024-07-06,2025-10-28 08:26:49.188146
64,tbell,leejoseph@example.org,+1-809-566-6901x246,Phoenix,Gas,SUV,Bronze,476.31,2025-01-10,2025-10-17 10:11:44.780060
65,deborahwalker,andrewrivera@example.org,(685)718-6281x345,Atlanta,Diesel,Sedan,Bronze,906.35,2025-06-29,2025-10-15 08:51:21.330971
66,rodriguezlonnie,kellyvillegas@example.com,4759946341,Boston,Gas,SUV,Bronze,7887.61,2023-11-16,2025-10-16 12:22:30.454178
67,shawnstewart,oneilltammy@example.net,(269)525-7729,New York,Gas,Sedan,Bronze,9584.37,2022-11-07,2025-10-20 03:20:57.430943
68,rachel43,alvaradozachary@example.net,551-783-5521,Miami,Hybrid,Sports,Platinum,609.89,2023-04-15,2025-10-18 00:01:14.456722
69,holly81,mandymeyers@example.com,897.595.4231,New York,Diesel,Sports,Gold,6247.56,2023-05-05,2025-10-04 12:30:10.387394
70,alexander68,brian51@example.net,(574)330-8656x49209,Seattle,Electric,Sedan,Silver,641.44,2023-01-21,2025-10-19 14:08:48.112540
71,rnguyen,heatherbolton@example.com,309.847.9721,Denver,Diesel,SUV,Silver,7165.19,2025-05-09,2025-10-16 01:18:15.208688
72,melissa93,angelalee@example.org,+1-394-584-9021,Atlanta,Gas,SUV,Silver,2307.54,2024-03-24,2025-10-14 14:53:25.354770
73,garrettbennett,jeffreyfox@example.org,001-354-390-0760,Miami,Gas,Sports,Bronze,7910.8,2023-06-09,2025-10-18 22:44:29.773531
74,xcaldwell,mblair@example.net,3046388124,Chicago,Gas,Sports,Silver,2752.56,2023-07-21,2025-10-13 19:53:25.496905
75,jessicafranco,jamesherrera@example.com,346.695.3130x70412,Denver,Hybrid,Sedan,Silver,8264.77,2023-01-06,2025-10-03 04:22:15.297862
76,lindathompson,lindaarmstrong@example.com,649.418.9185x27097,Denver,Electric,Sports,Bronze,3525.05,2023-03-12,2025-10-11 12:47:18.693160
77,finleymatthew,jjones@example.org,950-555-7675,Atlanta,Diesel,Sedan,Bronze,426.42,2022-11-18,2025-10-09 13:15:07.505130
78,ywilliams,vgiles@example.net,(894)484-4837,Los Angeles,Diesel,Truck,Bronze,3016.73,2023-05-28,2025-10-09 11:37:29.483919
79,mariabradley,rstewart@example.net,971.817.3546x306,Denver,Diesel,Sedan,Platinum,7635.55,2024-08-19,2025-10-19 08:24:33.661978
80,veronica42,wilcoxcrystal@example.org,928.491.6800,Denver,Gas,SUV,Silver,140.18,2025-06-28,2025-10-14 23:35:13.643879
81,iobrien,rrodriguez@example.net,533-566-2253x90545,Boston,Diesel,SUV,Bronze,9874.88,2025-07-09,2025-10-03 11:03:46.530761
82,johnsonmichael,lawrencesmith@example.com,(501)769-7426,New York,Diesel,SUV,Gold,5351.07,2024-11-12,2025-10-09 03:55:40.083195
83,mmiller,igreen@example.com,257.663.3387,Denver,Hybrid,SUV,Silver,4929.05,2024-12-04,2025-10-26 05:05:15.596894
84,rebeccalambert,calvin82@example.com,707.780.3674,Dallas,Hybrid,Sedan,Silver,3497.81,2024-07-04,2025-10-20 20:22:19.272589
85,davidball,sosaelizabeth@example.org,541.749.0862x06823,Denver,Gas,SUV,Silver,2090.31,2023-12-10,2025-10-12 19:50:42.025116
86,yjackson,nancybrooks@example.net,+1-525-948-8462x73391,Los Angeles,Gas,Truck,Bronze,7197.22,2022-11-21,2025-10-25 18:14:51.479181
87,rodriguezdominique,waltersjordan@example.net,780.805.1900x4741,Los Angeles,Hybrid,Sports,Bronze,2543.86,2023-12-30,2025-10-29 10:59:09.188622
88,cindysalinas,cummingsnicholas@example.net,001-717-766-2795,Atlanta,Electric,Sports,Bronze,1067.67,2025-08-04,2025-10-22 18:16:10.699417
89,daniel23,rodgersalice@example.com,261-604-1731x409,Denver,Gas,Sedan,Bronze,9727.3,2024-02-13,2025-10-29 14:51:39.915705
90,amybarr,iparker@example.com,+1-804-722-9058x62999,Boston,Hybrid,SUV,Silver,6506.67,2025-01-02,2025-10-15 11:38:28.922540
91,kristin87,cassandra26@example.org,272.391.5637,Boston,Electric,Truck,Bronze,1154.45,2024-06-10,2025-10-09 10:49:42.081937
92,wallacejean,taylorbrian@example.com,818-742-8850,Miami,Electric,Sports,Bronze,9280.26,2025-04-07,2025-10-03 18:13:51.729242
93,churchcrystal,caitlynhernandez@example.com,001-895-817-9494,Los Angeles,Diesel,SUV,Gold,7847.43,2023-12-24,2025-10-21 23:37:05.185872
94,robert56,romeroerin@example.com,360-457-6543x55398,Atlanta,Hybrid,Sedan,Silver,6182.93,2024-01-01,2025-10-19 05:37:58.971578
95,ichandler,timothy00@example.net,3004177477,Phoenix,Electric,Sedan,Gold,1769.69,2023-10-17,2025-10-27 15:41:13.749359
96,julie75,chasejoe@example.com,200.879.5181x52837,Los Angeles,Hybrid,Sedan,Bronze,2401.89,2024-11-27,2025-10-08 21:48:21.512516
97,mary79,ygardner@example.com,001-495-904-3219x0767,Los Angeles,Diesel,SUV,Platinum,7041.46,2023-10-17,2025-10-10 13:04:38.077043
98,mitchellkim,hamptontammy@example.org,521-551-6254,Dallas,Hybrid,SUV,Bronze,5445.88,2023-12-21,2025-10-12 12:54:59.497483
99,malonejacqueline,tgutierrez@example.org,001-647-568-2173,Los Angeles,Gas,Truck,Silver,6446.0,2023-05-25,2025-10-24 03:15:47.217890
100,qhayden,davidsonrenee@example.com,319-754-0458,Chicago,Hybrid,Sedan,Bronze,101.0,2025-02-16,2025-10-14 07:49:53.027164
101,rachaelwilson,strongstephen@example.net,+1-597-452-1518,Seattle,Hybrid,SUV,Silver,4619.0,2023-05-12,2025-10-23 18:07:42.026104
102,ruthraymond,mariahalexander@example.org,665.743.1482,Phoenix,Gas,SUV,Bronze,2500.99,2024-03-09,2025-10-09 16:16:40.705544
103,lsantiago,rkramer@example.net,+1-224-552-4312x5215,Atlanta,Electric,Sedan,Gold,5572.22,2023-06-13,2025-10-30 12:49:27.778143
104,hkelly,hjoseph@example.org,(605)664-5324x32242,Seattle,Diesel,Truck,Bronze,5867.11,2024-08-06,2025-10-18 13:44:09.142756
105,mhopkins,evazquez@example.net,350.561.6046x44378,Los Angeles,Diesel,Sedan,Bronze,3654.63,2025-03-29,2025-10-21 14:27:03.227666
106,amberboyd,jdavis@example.org,(209)979-6968x33006,Dallas,Hybrid,Sports,Gold,7855.45,2023-07-22,2025-10-08 10:09:42.453193
107,josephbaker,karen31@example.com,697.744.2499x91384,Atlanta,Diesel,Sedan,Bronze,7188.07,2023-01-29,2025-10-27 00:27:04.778954
108,jennifer25,ohenderson@example.com,383.547.4157x15206,Miami,Diesel,SUV,Bronze,8944.68,2023-08-21,2025-10-04 14:41:05.316995
109,matthewpatterson,robert45@example.com,(819)640-8280x04117,Atlanta,Hybrid,Truck,Gold,9387.72,2024-01-22,2025-10-22 02:25:10.953178
110,deborahwilliams,charleslong@example.org,385.952.1066x0577,Miami,Hybrid,Truck,Bronze,4120.32,2022-12-25,2025-10-15 00:51:44.739980
111,amymejia,hardinsteve@example.net,(261)969-5193x7808,Boston,Electric,SUV,Bronze,3986.47,2023-01-29,2025-10-11 13:47:01.589279
112,lwatkins,barbaraparker@example.net,001-272-506-9297x94627,Denver,Gas,Truck,Silver,8486.51,2024-01-28,2025-10-21 16:00:27.098350
113,todd85,ohawkins@example.com,(594)376-9514x24341,Chicago,Diesel,Truck,Platinum,5012.28,2025-08-06,2025-10-20 22:22:15.939998
114,joseph13,russellchristina@example.com,001-818-493-7455x6418,Phoenix,Electric,Sports,Gold,6679.37,2023-05-26,2025-10-06 19:15:12.194754
115,youngkelli,sarah52@example.org,225-920-5542,Phoenix,Gas,Truck,Gold,4486.42,2023-05-06,2025-10-27 04:37:25.462285
116,ograham,hillchase@example.org,(579)734-5089x98215,Dallas,Diesel,Sedan,Bronze,5487.64,2025-03-29,2025-10-14 09:15:59.038720
117,robinhoward,brownbobby@example.net,307-925-8835,Chicago,Electric,SUV,Bronze,7547.52,2023-08-14,2025-10-17 03:19:11.051775
118,wilsonjoan,lindseytorres@example.org,613.722.9814x705,Chicago,Diesel,SUV,Bronze,6678.02,2022-11-04,2025-10-18 11:28:46.857164
119,omartinez,carlossanders@example.com,001-461-499-8343x282,Dallas,Electric,Sports,Gold,3697.52,2023-03-21,2025-10-08 22:34:14.765862
120,sandersalyssa,rebeccamcconnell@example.com,001-795-357-7775x6154,Denver,Gas,Truck,Gold,6545.58,2024-10-06,2025-10-22 02:01:13.357228
121,bassallison,ebrown@example.com,+1-411-803-1437x36974,Dallas,Diesel,Sedan,Bronze,8659.36,2024-01-23,2025-10-14 14:12:46.729879
122,margaretsparks,beckwilliam@example.com,+1-815-475-3832x74118,Boston,Diesel,Truck,Gold,9391.12,2023-09-16,2025-10-08 07:03:02.052059
123,linda77,hhardy@example.net,474-793-5808x77936,Seattle,Gas,Sedan,Bronze,978.2,2023-02-16,2025-10-24 16:38:52.992749
124,thomas54,hbrown@example.org,848.460.9168x98988,Boston,Hybrid,Sedan,Gold,5978.76,2023-03-11,2025-10-15 07:32:56.196761
125,millerkyle,kcollins@example.net,+1-214-672-4042,New York,Diesel,SUV,Bronze,5785.36,2025-02-07,2025-10-23 21:41:50.678672
126,phillipsavage,melissa01@example.org,001-686-233-5977,Miami,Gas,Sports,Bronze,2025.42,2022-11-14,2025-10-17 11:03:52.607013
127,lisatucker,elizabeth99@example.org,(788)564-7299x0836,New York,Diesel,Sports,Bronze,43.38,2024-08-25,2025-10-13 14:59:11.243397
128,nball,lisagray@example.net,+1-394-681-2618x9241,Boston,Diesel,Truck,Bronze,9609.4,2025-02-21,2025-10-06 01:13:52.274766
129,jesserogers,moorejared@example.org,+1-798-557-3592x96027,Atlanta,Electric,Sports,Bronze,666.14,2023-01-06,2025-10-22 13:35:52.397580
130,jonathan05,ggregory@example.org,533.495.6934,Miami,Hybrid,SUV,Silver,3943.39,2024-11-22,2025-10-10 19:13:12.462412
131,rebeccamartin,ugonzalez@example.net,(948)657-2863x49125,Los Angeles,Diesel,SUV,Gold,2768.19,2024-08-14,2025-10-21 20:47:02.505031
132,taylor77,cooleylorraine@example.net,214.355.2344x84563,Boston,Electric,Sports,Platinum,8667.32,2024-07-13,2025-10-21 01:07:32.411273
133,smithsarah,wchapman@example.org,001-430-690-5487,Boston,Hybrid,Sports,Silver,9454.63,2024-03-31,2025-10-20 04:58:55.220333
134,vbaker,mary91@example.com,509-259-5730x2968,Atlanta,Diesel,Truck,Bronze,144.6,2023-03-21,2025-10-11 09:50:30.522307
135,kerrymaldonado,markwoods@example.net,679.565.4969,Phoenix,Hybrid,Sedan,Bronze,9376.36,2024-01-09,2025-10-29 18:58:37.578861
136,zwong,preed@example.net,(450)231-1590x838,Boston,Gas,Sedan,Gold,7200.89,2025-03-29,2025-10-21 21:07:55.367864
137,ybrown,karengarcia@example.org,001-564-232-0709x80103,Miami,Gas,Sports,Silver,631.63,2024-02-16,2025-10-16 17:29:00.869117
138,nicholascastillo,qrussell@example.org,+1-852-248-9585x5411,Chicago,Gas,Sedan,Bronze,3375.91,2025-09-16,2025-10-20 03:20:57.381714
139,kmitchell,martinrichardson@example.org,001-939-696-0251x486,Los Angeles,Electric,Sports,Bronze,4117.1,2023-05-03,2025-10-18 09:59:31.848361
140,morabrianna,njackson@example.com,302-475-1845,Boston,Hybrid,SUV,Silver,4030.83,2024-08-19,2025-10-21 21:44:08.859572
141,jason16,matthewjackson@example.org,731-211-4093x0892,Miami,Gas,Sports,Gold,4099.43,2025-08-10,2025-10-22 04:43:42.064751
142,ejordan,elizabeth23@example.net,877.381.5506,Chicago,Gas,Truck,Bronze,7749.52,2025-01-30,2025-10-19 17:53:28.221578
143,kurtwhite,ernestsampson@example.com,001-772-631-2328x1370,Phoenix,Gas,Truck,Silver,2215.77,2024-07-07,2025-10-18 11:48:34.556044
144,bhall,donnamclaughlin@example.com,+1-500-413-1387x82866,Los Angeles,Gas,Truck,Silver,6454.62,2022-11-17,2025-10-14 08:36:40.441823
145,halewilliam,lauraholmes@example.com,+1-779-373-7321x04515,Dallas,Hybrid,Sports,Platinum,8070.74,2024-11-28,2025-10-27 08:02:00.646304
146,kellywaters,jgarcia@example.net,532-522-0912x7727,Phoenix,Hybrid,Truck,Silver,8777.87,2022-11-24,2025-10-04 12:09:19.136529
147,devonmay,shirley10@example.org,(368)376-5394x8205,New York,Diesel,Sedan,Silver,9464.74,2025-07-28,2025-10-17 00:36:32.630785
148,scott62,vanessajones@example.net,001-784-323-0103,Chicago,Hybrid,Sports,Bronze,3462.98,2024-06-30,2025-10-17 16:44:40.531165
149,samantharoberts,ryanhuff@example.com,533.448.8474,Phoenix,Electric,Sports,Gold,4047.22,2024-08-03,2025-10-03 07:46:25.798476
150,nicholstamara,alejandra02@example.net,926.302.2690,Seattle,Gas,Sedan,Bronze,6509.08,2023-08-01,2025-10-09 14:28:40.731378
151,pricecaitlin,griffinnancy@example.org,365-494-7355x7262,Phoenix,Hybrid,Truck,Bronze,8423.88,2024-12-24,2025-10-02 11:36:23.986328
152,nescobar,baxterpatty@example.net,8854670440,Atlanta,Gas,Sports,Bronze,5490.06,2024-08-09,2025-10-29 15:42:23.289479
153,ijackson,billynorris@example.com,858-577-2565x7943,New York,Diesel,Truck,Gold,6342.14,2023-04-18,2025-10-06 12:22:54.267982
154,brian84,bryantmatthew@example.com,891.895.0825x95638,Denver,Hybrid,SUV,Bronze,5341.52,2025-08-21,2025-10-03 16:50:25.553532
155,darlene61,ibailey@example.org,001-986-842-1202x623,Atlanta,Gas,Sedan,Gold,1917.25,2023-01-15,2025-10-23 13:47:39.690964
156,wross,pmorrison@example.org,+1-855-941-5860x73826,Boston,Electric,Truck,Gold,7079.16,2022-12-27,2025-10-27 06:12:47.906657
157,carterjohn,scotthudson@example.net,944-775-0082,Seattle,Gas,Truck,Bronze,8739.16,2023-11-12,2025-10-14 14:40:50.278688
158,allenelizabeth,joshuarodriguez@example.net,+1-859-424-6611x8081,Seattle,Hybrid,Truck,Silver,1476.03,2023-12-09,2025-10-10 01:15:48.060055
159,garzaronald,philipharris@example.org,(629)614-3723x38292,Miami,Electric,Sports,Bronze,3625.92,2023-05-04,2025-10-18 09:02:52.254697
160,patriciawebb,jose04@example.com,+1-603-804-8100x899,Chicago,Gas,SUV,Bronze,8731.82,2024-11-30,2025-10-07 06:51:42.098593
161,ssmith,william82@example.net,958-358-4990,Miami,Electric,SUV,Bronze,9217.32,2024-06-17,2025-10-04 06:20:21.090914
162,kristinlewis,freemantony@example.net,220.731.9140x4888,Seattle,Electric,Sports,Silver,2539.14,2025-10-08,2025-10-01 12:31:11.075489
163,vazquezann,maureen84@example.org,839-757-4748x53767,Chicago,Hybrid,Truck,Silver,2652.24,2023-03-09,2025-10-24 01:44:44.561252
164,renee83,carrie82@example.net,231.786.2876x09554,Los Angeles,Gas,SUV,Gold,3172.9,2025-05-14,2025-10-18 00:45:19.867404
165,peter63,whitechelsea@example.org,9112042700,Boston,Electric,Sports,Platinum,2529.55,2022-11-19,2025-10-17 01:04:46.673630
166,gfischer,lbranch@example.com,(358)539-2238x840,Chicago,Diesel,Sedan,Silver,5423.38,2024-06-26,2025-10-19 19:30:50.685503
167,jenniferanderson,gestrada@example.org,528-611-1604,Atlanta,Electric,Sedan,Bronze,7917.31,2025-10-14,2025-10-15 17:10:27.785368
168,cbell,lcampbell@example.com,9498964581,Atlanta,Diesel,Truck,Bronze,3289.46,2023-06-27,2025-10-14 02:31:17.199974
169,williechen,mary21@example.com,714-274-2594x227,Denver,Electric,SUV,Bronze,1415.43,2025-01-10,2025-10-10 19:05:19.807603
170,qvillanueva,nguyenstacey@example.com,(378)502-4343x855,Denver,Electric,Truck,Bronze,5502.82,2025-07-07,2025-10-30 03:25:28.229385
171,alexasmith,smallpatricia@example.net,8018617840,Seattle,Diesel,Truck,Bronze,8262.13,2025-05-20,2025-10-24 14:32:42.963629
172,oweiss,stantonjames@example.org,556-684-3157x079,Dallas,Hybrid,Truck,Gold,9687.6,2025-06-28,2025-10-26 23:21:18.864092
173,johnevans,kathleennunez@example.com,575.227.8292x40973,Los Angeles,Hybrid,Sedan,Platinum,6054.03,2025-04-12,2025-10-19 12:31:30.346961
174,iguerrero,alvin85@example.org,7284029387,Miami,Diesel,Sedan,Gold,633.81,2023-11-11,2025-10-23 22:17:48.367647
175,mcdonaldmark,pbrown@example.net,+1-221-721-5274x487,Denver,Electric,Sedan,Silver,372.12,2025-04-12,2025-10-18 07:29:41.613678
176,jeffrey66,ricejames@example.com,(229)591-9755x02719,Los Angeles,Gas,Truck,Silver,4259.08,2025-07-18,2025-10-27 13:27:50.453411
177,colemichelle,dcook@example.com,578-653-5339x50841,Denver,Gas,Truck,Platinum,6498.48,2024-04-06,2025-10-13 15:50:52.458140
178,wandahughes,christinewilson@example.org,+1-553-373-6864,Atlanta,Electric,Sports,Platinum,8135.54,2025-08-06,2025-10-01 09:37:30.207253
179,sbush,hoffmanlauren@example.com,380.448.9743,Miami,Hybrid,Truck,Silver,9161.54,2023-04-07,2025-10-19 02:03:47.310929
180,patricia10,christopher66@example.net,789.338.8922x55513,Phoenix,Gas,SUV,Bronze,1004.86,2023-01-06,2025-10-10 05:06:52.867898
181,bjohnson,astone@example.org,727.835.3543x58405,New York,Hybrid,Truck,Bronze,6659.43,2024-12-28,2025-10-13 19:51:35.074904
182,jennifer24,lbarrera@example.com,(557)824-9251x255,New York,Hybrid,Truck,Gold,9939.39,2025-03-02,2025-10-23 12:22:13.291652
183,mitchellleslie,emartinez@example.net,6163604522,Boston,Gas,Truck,Bronze,7596.13,2024-01-18,2025-10-18 08:14:17.448636
184,wschmitt,petersonjoshua@example.com,414.541.9597x045,Dallas,Electric,Truck,Silver,1342.63,2023-10-23,2025-10-29 20:55:01.183346
185,rosejose,pamelasummers@example.net,5199262441,Phoenix,Hybrid,Truck,Silver,6025.81,2023-03-23,2025-10-15 18:11:01.706004
186,graytyler,hillmichelle@example.net,211-729-9436,New York,Electric,SUV,Silver,5780.78,2022-11-05,2025-10-20 04:08:40.697295
187,bobrien,brandon94@example.com,286.900.7175,Miami,Hybrid,Sedan,Gold,84.43,2023-10-20,2025-10-05 09:12:55.325245
188,angelatate,barronanthony@example.com,(853)685-7887,Miami,Gas,SUV,Bronze,2236.73,2024-04-24,2025-10-10 19:31:09.481697
189,roy37,harveylaura@example.net,(283)723-1339x76058,Seattle,Diesel,Truck,Silver,7020.67,2023-09-15,2025-10-14 00:20:25.306454
